title,region,summary,best_for,funding,who_can_apply,status_label,tags,link,notes,source
"FRRR - Strengthening Rural Communities: Small & Vital","other","Community-led regional projects with practical local benefit.","community gardens; seed swaps; tool libraries; workshops; volunteer coordination; small resilience and food initiatives","Up to $10,000","Grassroots community-led projects in remote, rural and regional communities","check_current_round","food security,community building,resilience,philanthropic","https://frrr.org.au/funding/src-small-vital/","Strong all-round starter grant for practical regional initiatives.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
"Northern Rivers Community Foundation - Community Grants Program","other","Region-specific grant program for social and environmental projects.","community groups across the Northern Rivers working on social disadvantage and environmental sustainability","Recent rounds up to $15,000","Not-for-profit groups and eligible community organisations in the seven Northern Rivers LGAs","closed_track_next_round","community building,environment,philanthropic,northern rivers","https://nrcf.org.au/grants/community-grants-program-2025/","High-value grant to track for local inclusion, outreach and resilience projects.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
"Northern Rivers Community Foundation - Recovery and Resilience Grants Program","other","Disaster recovery and preparedness support for impacted communities.","flood recovery; disaster resilience; community support; mutual aid; preparedness","Check current program details","Northern Rivers not-for-profit community groups impacted by disaster","closed_track_next_round","resilience,community building,northern rivers,philanthropic","https://nrcf.org.au/grants/recovery-resilience-grants-program/","Relevant for groups working post-disruption across the region.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
"Byron Shire Council - Community Initiatives Grant","byron_bay","Small local grant supporting practical community benefit projects.","local events; outreach; environmental projects; community education; local resilience initiatives","Up to $5,000","Incorporated community organisations and groups with auspice arrangements in Byron Shire","check_current_round","local council,community building,environment,byron","https://www.byron.nsw.gov.au/Council/About-Byron-Shire/Grants/Community-Initiatives-Grant","Good small local grant for visible local projects.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
"Ballina Shire Council - Community Donations","ballina","Small support pathway for community initiatives in Ballina Shire.","small local community projects; activities; initiatives","Check current round details","Eligible community organisations in Ballina Shire","check_current_round","local council,community building,ballina","https://www.ballina.nsw.gov.au/Council/Forms-and-Documents/Community-Donations","Keep details general unless eligibility is freshly verified.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
"Tweed Shire Council - Community Grants Program","tweed","Funding for community-led projects that strengthen local connection and care.","local projects; local activities; outreach; events; capacity-building","Recent rounds up to $5,000","Community groups and not-for-profits in the Tweed region","check_current_round","local council,community building,tweed","https://www.tweed.nsw.gov.au/community/community-support/grants-funding/community-grants","Useful for community-led activities in Tweed.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
"Kyogle Council - Community Grant Program","kyogle","Community grant support for projects and events with local benefit.","community projects; community events","Check current round details","Not-for-profit organisations and individuals in the Kyogle LGA","closed_track_next_round","local council,community building,kyogle","https://www.kyogle.nsw.gov.au/recreation-community/community-support/community-grants-programs/","Worth tracking due occasional individual eligibility.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
"Richmond Valley Council - Community Financial Assistance Program","other","Small grants for grassroots projects and community events.","small grassroots community projects; events; local initiatives","$100 to $5,000","Eligible community groups in the Richmond Valley","check_current_round","local council,community building,richmond valley","https://richmondvalley.nsw.gov.au/community-services/grants-and-funding/community-financial-assistance-program/","Recent information suggests two rounds per financial year.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
"Clarence Valley Council - Community Initiatives Program","other","Broad community support program with multiple assistance types.","community projects and initiatives benefiting the Clarence Valley","Varies by category; may include cash, rates, or fee waivers","Not-for-profit organisations and eligible community groups","check_current_round","local council,community building,clarence valley","https://www.clarence.nsw.gov.au/Community/Community-funding-and-grants/Community-Initiatives-Program","Useful broad local grant for ongoing and new projects.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
"Clarence Valley Council - Sustainable Agriculture Small Grants","other","Thematic grant aligned to sustainable agriculture and food systems.","sustainable agriculture; regenerative growing; land care; practical farming; food systems initiatives","Check current round details","Eligible groups or applicants in Clarence Valley context","closed_track_next_round","environment,food security,sustainable agriculture,clarence valley","https://www.clarence.nsw.gov.au/Community/Community-funding-and-grants/Sustainable-Agriculture-Small-Grants","One of the most directly relevant thematic grants.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
"Ballina Shire Council - Resource Recovery Community Grants","ballina","Supports circular economy and waste minimisation community projects.","composting; reuse; repair; waste minimisation; circular economy; resource recovery projects","Check current round details","Community-led initiatives with public benefit","check_current_round","circular economy,environment,ballina","https://www.ballina.nsw.gov.au/Residents/Waste-and-Recycling/Waste-Wise-Ballina/Community-Waste-Programs/Resource-Recovery-Community-Grants","Good fit for practical local circular systems and education.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
"Lismore Grants Hub","lismore","Directory resource to discover current local and regional opportunities.","finding current local and regional opportunities in one place","Not a grant itself","N/A","ongoing_resource","grants finder,lismore,local resource","https://www.lismore.nsw.gov.au/Community/Supporting-our-community/Grants-and-sponsorship-opportunities-in-Lismore","Include as grants discovery resource rather than a direct grant.","PERMABRELLA_GRANTS_STARTER.md 2026-04-27"
